Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
40,The War with Grandpa,"$40,696,162","$21,277,892",52.3%,"$19,418,270",47.7%,2020.csv,2020
41,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%,2020.csv,2020
42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%,2020.csv,2020
43,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%,2020.csv,2020
44,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%,2020.csv,2020
45,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%,2020.csv,2020
46,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%,2020.csv,2020
47,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%,2020.csv,2020
48,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%,2020.csv,2020
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%,2020.csv,2020
50,Honest Thief,"$31,354,158","$14,163,574",45.2%,"$17,190,584",54.8%,2020.csv,2020
51,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%,2020.csv,2020
52,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%,2020.csv,2020
53,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%,2020.csv,2020
54,The Witches,"$26,900,000",-,-,"$26,900,000",100%,2020.csv,2020
55,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%,2020.csv,2020
56,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%,2020.csv,2020
57,Scoob!,"$25,750,000","$850,000",3.3%,"$24,900,000",96.7%,2020.csv,2020
58,The Father,"$24,306,605","$2,122,771",8.7%,"$22,183,834",91.3%,2020.csv,2020
59,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%,2020.csv,2020
60,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%,2020.csv,2020
61,Poupelle of Chimney Town,"$21,830,600",-,-,"$21,830,600",100%,2020.csv,2020
62,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%,2020.csv,2020
63,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%,2020.csv,2020
64,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%,2020.csv,2020
65,Yarn,"$20,474,270",-,-,"$20,474,270",100%,2020.csv,2020
