,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
259,Ocean's Eight,"29,77,18,711","14,02,18,711","15,75,00,000",2018,47.098,52.902
260,The Divergent Series: Insurgent,"29,70,02,527","13,01,79,072","16,68,23,455",2015,43.831,56.169
261,Miss Peregrine's Home for Peculiar Children,"29,64,82,446","8,72,42,834","20,92,39,612",2016,29.426,70.574
262,Ferdinand,"29,60,69,199","8,44,10,380","21,16,58,819",2017,28.510,71.490
263,Pacific Rim: Uprising,"29,09,30,148","5,98,74,525","23,10,55,623",2018,20.580,79.420
264,Divergent,"28,88,85,818","15,09,47,895","13,79,37,923",2014,52.252,47.748
265,Bridesmaids,"28,83,83,523","16,91,06,725","11,92,76,798",2011,58.640,41.360
266,Maze Runner: The Death Cure,"28,81,75,335","5,80,32,443","23,01,42,892",2018,20.138,79.862
267,Pitch Perfect 2,"28,71,44,079","18,42,96,230","10,28,47,849",2015,64.182,35.818
268,Oblivion,"28,61,68,572","8,91,07,235","19,70,61,337",2013,31.138,68.862
269,Elysium,"28,61,40,700","9,30,50,117","19,30,90,583",2013,32.519,67.481
270,John Carter,"28,41,39,100","7,30,78,100","21,10,61,000",2012,25.719,74.281
271,Turbo,"28,25,70,682","8,30,28,128","19,95,42,554",2013,29.383,70.617
272,Paddington,"28,23,70,135","7,62,71,832","20,60,98,303",2014,27.011,72.989
273,Split,"27,84,54,358","13,82,91,365","14,01,62,993",2017,49.664,50.336
274,The Bourne Legacy,"27,61,44,750","11,32,03,870","16,29,40,880",2012,40.994,59.006
275,Mr. Peabody & Sherman,"27,56,98,039","11,15,06,430","16,41,91,609",2014,40.445,59.555
276,Lincoln,"27,52,93,450","18,22,07,973","9,30,85,477",2012,66.187,33.813
277,Tomb Raider,"27,46,50,803","5,82,50,803","21,64,00,000",2018,21.209,78.791
278,Cloudy with a Chance of Meatballs 2,"27,43,25,949","11,97,93,567","15,45,32,382",2013,43.668,56.332
279,Neighbors,"27,06,65,134","15,01,57,400","12,05,07,734",2014,55.477,44.523
280,We're the Millers,"26,99,94,119","15,03,94,119","11,96,00,000",2012,55.703,44.297
281,Epic,"26,84,26,634","10,75,18,682","16,09,07,952",2013,40.055,59.945
282,Exodus: Gods and Kings,"26,81,75,631","6,50,14,513","20,31,61,118",2014,24.243,75.757
283,Terminator: Dark Fate,"26,11,19,292","6,22,53,077","19,88,66,215",2019,23.841,76.159
284,The Lone Ranger,"26,05,02,115","8,93,02,115","17,12,00,000",2013,34.281,65.719
285,Super 8,"26,00,95,986","12,70,04,179","13,30,91,807",2011,48.830,51.170
