Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
212,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018,49.19599211865952,50.804007881340475
213,The Lorax,348840316,214030500,134809816,2012.csv,2012,61.354863581765585,38.64513641823441
214,The Maze Runner,348319861,102427862,245891999,2014.csv,2014,29.40626517992323,70.59373482007678
215,The Smurfs 2,347545360,71017784,276527576,2013.csv,2013,20.43410506185437,79.56589493814563
216,Trolls,346864462,153707064,193157398,2016.csv,2016,44.313292608223435,55.68670739177656
217,xXx: Return of Xander Cage,346118277,44898413,301219864,2017.csv,2017,12.971985585147241,87.02801441485276
218,Star Trek Beyond,343471816,158848340,184623476,2016.csv,2016,46.2478528369268,53.752147163073204
219,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,209584693,2011.csv,2011,38.84228630007867,61.15771369992133
220,A Quiet Place,340939361,188024361,152915000,2018.csv,2018,55.14891576276521,44.85108423723479
221,300: Rise of an Empire,337580051,106580051,231000000,2014.csv,2014,31.571785916935003,68.428214083065
222,Journey 2: The Mysterious Island,335260290,103860290,231400000,2012.csv,2012,30.979001420060815,69.02099857993919
223,The Great Wall,334933831,45540830,289393001,2016.csv,2016,13.596963276008985,86.40303672399101
224,Now You See Me 2,334897606,65075540,269822066,2016.csv,2016,19.431473630778957,80.56852636922105
225,Never Say Die,334530869,0,334530869,2017.csv,2017,0.0,100.0
226,The Good Dinosaur,332207671,123087120,209120551,2015.csv,2015,37.05125761530052,62.94874238469947
227,22 Jump Street,331333876,191719337,139614539,2014.csv,2014,57.86288420445123,42.13711579554878
228,Crazy Alien,327598891,0,327598891,2019.csv,2019,0.0,100.0
229,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019.csv,2019,52.34484096030603,47.65515903969397
230,Taken 3,326479141,89256424,237222717,2015.csv,2015,27.339089329446626,72.66091067055338
231,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015.csv,2015,50.123318949935715,49.87668105006429
232,Green Book,321752656,85080171,236672485,2018.csv,2018,26.442725308847177,73.55727469115281
233,The Conjuring 2,320392818,102470008,217922810,2016.csv,2016,31.982617038562957,68.01738296143705
234,The Conjuring,319494638,137400141,182094497,2013.csv,2013,43.005460705102664,56.994539294897336
235,The Expendables 2,314975955,85028192,229947763,2012.csv,2012,26.995137454222494,73.0048625457775
236,Maze Runner: The Scorch Trials,312296056,81697192,230598864,2015.csv,2015,26.16017411375826,73.83982588624174
237,Resident Evil: The Final Chapter,312242626,26830068,285412558,2016.csv,2016,8.5926986791355,91.40730132086449
